Latitude,Longitude,Start date,End date,Duration,Elevation
52.2780997,20.8091856,2023-11-02T14:42:18.0000000+01:00,2023-11-02T14:43:14.0000000+01:00,00:00:56,56
52.2780997,20.8091856,2023-11-02T15:13:24.0000000+01:00,2023-11-02T15:14:36.0000000+01:00,00:01:12,65
52.2780997,20.8091856,2023-11-02T19:45:55.0000000+01:00,2023-11-02T19:46:52.0000000+01:00,00:00:57,57
52.2780997,20.8091856,2023-11-02T20:07:16.0000000+01:00,2023-11-02T20:08:58.0000000+01:00,00:01:42,84
52.2780997,20.8091856,2023-11-02T22:54:51.0000000+01:00,2023-11-02T22:56:18.0000000+01:00,00:01:27,69
52.2780997,20.8091856,2023-11-02T23:16:57.0000000+01:00,2023-11-02T23:18:14.0000000+01:00,00:01:17,67
52.2780997,20.8091856,2023-11-03T01:25:02.0000000+01:00,2023-11-03T01:26:00.0000000+01:00,00:00:58,62
52.2780997,20.8091856,2023-11-03T01:56:22.0000000+01:00,2023-11-03T01:57:20.0000000+01:00,00:00:58,60
52.2780997,20.8091856,2023-11-03T09:04:49.0000000+01:00,2023-11-03T09:05:46.0000000+01:00,00:00:57,57
52.2780997,20.8091856,2023-11-03T09:27:52.0000000+01:00,2023-11-03T09:29:33.0000000+01:00,00:01:41,82
52.2780997,20.8091856,2023-11-03T12:11:19.0000000+01:00,2023-11-03T12:12:31.0000000+01:00,00:01:12,64
52.2780997,20.8091856,2023-11-03T12:24:26.0000000+01:00,2023-11-03T12:26:08.0000000+01:00,00:01:42,89
52.2780997,20.8091856,2023-11-03T14:52:13.0000000+01:00,2023-11-03T14:53:40.0000000+01:00,00:01:27,73
52.2780997,20.8091856,2023-11-03T19:48:28.0000000+01:00,2023-11-03T19:49:26.0000000+01:00,00:00:58,61
52.2780997,20.8091856,2023-11-03T20:11:34.0000000+01:00,2023-11-03T20:13:00.0000000+01:00,00:01:26,79
52.2780997,20.8091856,2023-11-03T22:52:23.0000000+01:00,2023-11-03T22:53:36.0000000+01:00,00:01:13,64
52.2780997,20.8091856,2023-11-03T23:05:11.0000000+01:00,2023-11-03T23:06:54.0000000+01:00,00:01:43,90
52.2780997,20.8091856,2023-11-04T01:34:57.0000000+01:00,2023-11-04T01:36:24.0000000+01:00,00:01:27,79
52.2780997,20.8091856,2023-11-04T09:09:06.0000000+01:00,2023-11-04T09:10:04.0000000+01:00,00:00:58,62
52.2780997,20.8091856,2023-11-04T09:35:03.0000000+01:00,2023-11-04T09:36:17.0000000+01:00,00:01:14,66
52.2780997,20.8091856,2023-11-04T12:36:29.0000000+01:00,2023-11-04T12:37:40.0000000+01:00,00:01:11,64
52.2780997,20.8091856,2023-11-04T15:01:06.0000000+01:00,2023-11-04T15:02:48.0000000+01:00,00:01:42,85
52.2780997,20.8091856,2023-11-04T19:52:47.0000000+01:00,2023-11-04T19:53:58.0000000+01:00,00:01:11,64
52.2780997,20.8091856,2023-11-04T20:18:59.0000000+01:00,2023-11-04T20:19:57.0000000+01:00,00:00:58,63
52.2780997,20.8091856,2023-11-04T23:17:38.0000000+01:00,2023-11-04T23:18:51.0000000+01:00,00:01:13,65
52.2780997,20.8091856,2023-11-05T01:43:49.0000000+01:00,2023-11-05T01:45:17.0000000+01:00,00:01:28,79
